Raison Sociale,site_id,FAIT,category,TEXTE FRANÇAIS,TEXTE  ANGLAIS,PHOTO,Longitude,Latitude,Ville,,Type,Sous-type,Ligne adresse 1,NumÈro,ComplÈment numÈro,Type de voie,Voie,Ligne adresse 3,Boite postale,Code postal,,Bureau distributeur,Indicateur cÈdex,CÈdex,TÈlÈphone,Mail,Adresse Web,,,
Place des Moulins,,N,,,,,5.3684711,43.2984824,Marseille,,cdt:Site,Place - Cours,Le Panier,,,Place,Des Moulins,,,13002,,MARSEILLE,non,,04 91 00 00 00,,,,,
Place Lulli,,N,,,,,5.3764358,43.2925062,Marseille,,cdt:Site,Place - Cours,,,,Place,Lulli,,,13001,,MARSEILLE,non,,04 91 00 00 00,,,,,
Port de l'Estaque,,N,,,,,5.316086,43.362834,Marseille,,cdt:Site,Port,,,,,,,,13016,,MARSEILLE,non,,00 00 00 00 00,,,,,
Préau des Accoules,,N,,,,,5.367363,43.297696,Marseille,,cdt:Monument,CollËge,,29,,MontÈe,Des Accoules,,,13002,,MARSEILLE,non,,04 91 91 52 06,,,,,
Promenade de la Corniche,,N,,,,,5.358175,43.276531,Marseille,,cdt:Monument,Place - cours,,,,Corniche,John Fitzerald Kennedy,,,13007,,MARSEILLE,non,,0,,,,,
Quartier du Panier,,N,,,,,5.356601,43.315283,Marseille,,cdt:Site,Quartier historique,,,,,,,,13002,,MARSEILLE,non,,04 91 00 00 00,,,,,
Rive Neuve (rive Sud du Vieux Port),,N,,,,,5.3727494,43.2937435,Marseille,,cdt:Site,Quartier historique,,,,Quai,De Rive Neuve,,,13001,,MARSEILLE,non,,04 91 00 00 00,,,,,
Rue de la RÈpublique,,N,,,,,5.3705795,43.3005937,Marseille,,cdt:Site,Place - Cours,,,,Rue,De la RÈpublique,,,13002,,MARSEILLE,non,,04 91 00 00 00,,,,,
Saint-Nicolas de Myre Èglise grecque melkite,,N,,,,,5.380238,43.288406,Marseille,,cdt:Monument,Eglise,,19,,Rue,Edmond Rostand,,,13006,,MARSEILLE,non,,04 91 53 51 74,,,,,
Synagogue Etz Haim,,N,,,,,5.3952356,43.2655875,Marseille,,cdt:Monument,Synagogue,,16,,Boulevard,Michelet,,,13008,,MARSEILLE,non,,04 91 71 44 96,,,,,
Synagogue Yavné,,N,,,,,5.4113627,43.3191772,Marseille,,cdt:Monument,Synagogue,,48,,Boulevard,Barry,,,13013,,MARSEILLE,non,,04 91 66 13 15,,,,,
Temple Protestant - Eglise Réformée de France,,N,,,,,5.378732,43.292585,Marseille,,cdt:Monument,Temple,,15,,Rue,Grignan,,,13001,,MARSEILLE,non,,04 91 33 17 10,,,,,
Tour carrée du Roy René,,N,,,,,5.369195,43.296005,Marseille,,cdt:Monument,Tour - beffroi - campanile,,,,Quai,Du Port,,,13002,,MARSEILLE,non,,04 96 13 80 92,,http://www.musee-europemediterranee.org,,,
Vallon de Riaux Bas,,N,,,,,5.316086,43.362834,Marseille,,cdt:Site,Quartier historique,,,,,,,,13016,,MARSEILLE,non,,0,,,,,
Vallon de Riaux Haut,,N,,,,,5.316086,43.362834,Marseille,,cdt:Site,Quartier historique,,,,,,,,13016,,MARSEILLE,non,,0,,,,,
Vallon du Marinier,,N,,,,,5.316086,43.362834,Marseille,,cdt:Site,Quartier historique,,,,,,,,13016,,MARSEILLE,non,,0,,,,,
"Villa ""Les Mille Roses""",,N,,,,,5.453154,43.311653,Marseille,,cdt:Monument,Maison,,138,,Avenue,De Fernandel,,,13012,,MARSEILLE,non,,08 92 02 19 03,,,,,
Villa Nadar,,N,,,,,5.377253,43.263244,Marseille,,cdt:Monument,Maison,,559,,Avenue,Du Prado,,,13008,,MARSEILLE,non,,00 00 00 00 00,,,,,
,,N,,,,,5.365365,43.290088,Marseille,,cdt:Monument,Orgue,,3,,Rue,De l'Abbaye,,,13007,,MARSEILLE,non,,04 96 11 22 60,saintvictor@free.fr,http://www.saintvictor.net,,,
Arc de Triomphe,1,O,,"La place Jules-Guesde est une place des 1er, 2e et 3e arrondissement de Marseille construite à l'emplacement de la porte, dans les anciens remparts de la ville, ouvrant sur le chemin d'Aix-en-Provence. Elle est, de ce fait, appelée couramment porte d'Aix. Au centre de la place se dresse un arc de triomphe. L'arc de triomphe fait l’objet d’un classement au titre des monuments historiques depuis le 2 septembre 1982","Porte d'Aix (also known as the Porte Royale) is a triumphal arch in Marseille, in the south of France, marking the old entry point to the city on the road from Aix-en-Provence.In 1660 Louis XIV descended on Marseille to bring order to a city in political turmoil. His troops blasted a hole in the old thirteenth century ramparts that ran the length of the rue d'Aix between the city gates of ""Porte Royale"" and ""Porte d'Aix"".",,5.374711499999989,43.3018216,Marseille,,cdt:Monument,Arc de triomphe,,,,Place,Jules Guesde,,,13001,,MARSEILLE,non,,00 00 00 00 00,,,,,
Alcazar,2,O,,"L'Alcazar est une ancienne salle de spectacle, aujourd'hui bibliothèque municipale à vocation régionale , située sur le cours Belsunce, près de la Canebière, à Marseille.L'Alcazar-Lyrique ouvre ses portes le 10 octobre 1857. La salle est décorée en « fantaisie mauresque » par son propriétaire Étienne Demolins, en référence à l’Alhambra de Grenade. La salle peut accueillir 2 000 personnes, qui peuvent s'attabler pour suivre le spectacle en buvant et fumant. Au-dessus de la salle, des galeries s'étagent jusqu'au poulailler resté célèbre. Des fêtes nocturnes et des spectacles d’été se déroulent dans le jardin. Dans les années 1860, l’Alcazar assoit sa réputation en accueillant les artistes locaux mais également les célébrités parisiennes. Son public ne tarde pas à acquérir une réputation d'exigence. De 1868 à 1890, l'Alcazar est un haut lieu de la pantomime à Marseille, d'abord avec Charles Deburau (jusqu'en 1871), puis Louis Rouffe (de 1874 à 1885) et enfin Séverin (Séverin Cafferra, dit) jusqu'à son départ à Paris2.
Le 25 juin 1873, un incendie se déclare et détruit le théâtre, mais sans faire aucune victime. La salle rouvre ses portes 4 mois plus tard. Le 20 avril 1889, l'Alcazar subit une rénovation au cours de laquelle est créée la porte d'entrée surmontée d'une marquise, toujours visible aujourd'hui et classée aux Bâtiments de France.
Plusieurs artistes célèbres du xxe siècle y font leurs débuts, tels Yves Montand ou Tino Rossi, ou s'y révèlent comme Maurice Chevalier, Félix Mayol ou encore Fernandel, mais tous n'ont pas cette chance, le public marseillais ayant la réputation d'être impitoyable1. La salle est reconvertie en cinéma au début des années 1930.
Fermée durant la Seconde Guerre mondiale, elle connaît un regain d'activité à la Libération, mais concurrencée par la télévision à la fin des années 1950, elle connait une première faillite en 1964 avant de fermer définitivement ses portes le 9 aout 1966 avant d'être rachetée par un marchand de meubles, n'offrant au public que les restes d'une enseigne décrépie de type Art nouveau.Le 30 mars 2004, l'Alcazar rouvre ses portes sous la forme d'une bibliothèque municipale à vocation régionale (BMVR) en remplacement de la bibliothèque Saint-Charles. Le projet des architectes Adrien Fainsilber et Didier Rogeon, élaboré en conformité avec la loi du 12 juillet 1985, dite loi MOP, décline ainsi sa « mission de base » :
« Construire une grande bibliothèque dans le secteur protégé du centre historique de Marseille, c’est créer un événement architectural important ; un édifice facilement identifiable qui reflète la spécificité, la modernité et la haute technologie de son contenu. La lumière naturelle inonde la rue intérieure ; une verrière la couvre sur toute sa longueur ; des brise-soleil la protègent et diffusent la lumière de manière indirecte. »",,,5.376593400000047,43.2989954,Marseille,,cdt:Monument,Patrimoine divers,,54,,Cours,Belsunce,,,13001,,MARSEILLE,non,,04 91,,,,,
Place aux Huiles,3,O,,"La place aux Huiles est une place située à proximité du Vieux-Port de Marseille.
Cette place est située à l'emplacement de la partie ouest d'un ancien canal, appelé canal de la Douane, dont le tracé suivait également les cours Honoré-d'Estienne-d'Orves et Jean-Ballard, et qui permettait aux galères d'accéder aux arsenaux.
Bien après, ce canal fut réservé à un usage commercial où étaient débarquées ou embarquées des barriques d'huile (d'où son nom) jusqu'au début du xxe siècle, et qui servait principalement aux fabriques de savon situées dans la rue Sainte. Ce canal fut comblé entre 1927 et 1929.",,,5.371696899999961,43.2929012,Marseille,,cdt:Site,Place - Cours,,,,Place,Aux Huiles,,,13001,,MARSEILLE,non,,04 91 00 00 00,,,,,
